scientific_name	rank
Acesta	genus
Colaconema	genus
Acteon	genus
Actinastrum	genus
Actiniscus	genus
Actinoptychus	genus
Actinostola	genus
Adontorhina	genus
Aglaophamus	genus
Gaillona	genus
Agonus	genus
Agrypnia	genus
Ahnfeltia	genus
Akera	genus
Alcyonium	genus
Alderia	genus
Aldisa	genus
Alkmaria	genus
Amaeana	genus
Amblyops	genus
Amblyraja	genus
Amphictene	genus
Amphilepis	genus
Ampithoe	genus
Amphitrite	genus
Amphitritides	genus
Halamphora	genus
Ampullaceana	genus
Amythasides	genus
Anapagurus	genus
Anathece	genus
Andaniopsis	genus
Aneumastus	genus
Anguilla	genus
Macomangulus	genus
Lanceola	genus
Anoplodactylus	genus
Patella	genus
Antho	genus
Antithamnion	genus
Aora	genus
Aphia	genus
Aphroceras	genus
Aphrodita	genus
Aplidium	genus
Aplysilla	genus
Apocorophium	genus
Apoglossum	genus
Aporrhais	genus
Apsectrotanypus	genus
Apseudes	genus
Arcteonais	genus
Arctica	genus
Argissa	genus
Argulus	genus
Armina	genus
Arrhis	genus
Arthroplea	genus
Asbjornsenia	genus
Asellus	genus
Asterionellopsis	genus
Asteronyx	genus
Astyra	genus
Athanas	genus
Athelges	genus
Atherospio	genus
Nototropis	genus
Aulodrilus	genus
Autonoe	genus
Axinulus	genus
Bacillaria	genus
Baetis	genus
Bathyarca	genus
Bathyomphalus	genus
Bathypolypus	genus
Sorgenfreispira	genus
Bela	genus
Berkeleya	genus
Binuclearia	genus
Blidingia	genus
Bodotria	genus
Bolocera	genus
Bonellia	genus
Bonnemaisonia	genus
Botrylloides	genus
Brachydiastylis	genus
Branchiomma	genus
Brissopsis	genus
Brosme	genus
Buccinum	genus
Crisularia	genus
Caberea	genus
Calliergon	genus
Calliopius	genus
Callochiton	genus
Euthora	genus
Metacallophyllis	genus
Callopora	genus
Calocarides	genus
Calocaris	genus
Campylaspis	genus
Campylodiscus	genus
Cancer	genus
Capulus	genus
Carcinus	genus
Papillicardium	genus
Caridion	genus
Caryophyllia	genus
Centrolabrus	genus
Centroptilum	genus
Ceramaster	genus
Cerataulina	genus
Ceratocephale	genus
Chaetoderma	genus
Echinogammarus	genus
Chaetoparia	genus
Chaetopteris	genus
Eutrigla	genus
Chimaera	genus
Chirimia	genus
Chirolophis	genus
Chirona	genus
Sphaerellocystis	genus
Chlorogonium	genus
Chondrus	genus
Choricystis	genus
Limnococcus	genus
Eucapsis	genus
Pseudohaptolina	genus
Haptolina	genus
Cicuta	genus
Ciliophrys	genus
Crisilla	genus
Ciona	genus
Cladostephus	genus
Clava	genus
Closteriopsis	genus
Clupea	genus
Maldane	genus
Clymenura	genus
Clytia	genus
Cochlodesma	genus
Codium	genus
Coenagrion	genus
Coenocystis	genus
Colacium	genus
Colpomenia	genus
Commensodorum	genus
Compsothamnion	genus
Conchoecia	genus
Discoconchoecia	genus
Constempellina	genus
Conticribra	genus
Corallina	genus
Corbula	genus
Cordulia	genus
Corella	genus
Medicorophium	genus
Crassicorophium	genus
Monocorophium	genus
Ditrichocorycaeus	genus
Fjordia	genus
Corythodinium	genus
Coscinodiscopsis	genus
Cossura	genus
Coxliella	genus
Magallana	genus
Craticula	genus
Crenella	genus
Crepidula	genus
Cristatella	genus
Crossaster	genus
Lemmermannia	genus
Cryptocelides	genus
Cryptopleura	genus
Ctenolabrus	genus
Phaxas	genus
Cuthona	genus
Cutleria	genus
Cyathura	genus
Cyclidium	genus
Lindavia	genus
Cystoclonium	genus
Dactyliosolen	genus
Dasya	genus
Dasysiphonia	genus
Dendrodoa	genus
Derbesia	genus
Deshayesorchestia	genus
