taxon_name_from	taxon_name_to	Match_type	taxon_id (if not in DynTaxa)	Note
Diastyloides biplicata	Diastyloides biplicatus	Exact		
Diastyloides serrata	Diastyloides serratus	Exact		
Diatomophyceae	Bacillariophyta	Exact		
Dictyocha speculum	Octactis speculum	antag felstav		Tills att Dyntaxa är uppdaterat. Kom ihåg att ta bort den bakvända översättningen när dessa aktiveras (t.ex. Octactis speculum -> Dictyocha speculum)
Dictyosphaerium ehrenberg	Dictyosphaerium ehrenbergianum	antag felstav		
Dictyosphaerium pulchellum	Mucidosphaerium pulchellum	Exact		
Dilsea carnosa / Palmaria palmata	Dilsea carnosa/Palmaria palmata	felstav	6020441	Artkomplex
Dinoflagellate	Dinophyceae	antag felstav		
Dinophysis rotundata	Phalacroma rotundatum	exact		
Diploccirus glaucus	Diplocirrus glaucus	antag felstav		
DIPTERA	Diptera	felstav		
Distylis laevis	Diastylis laevis	antag felstav		
Dolichopermum	Dolichospermum	felstav		
Dolichospermum flosaquae	Dolichospermum flos-aquae			
Donacia sp.	Donacia	felstav		
Dosinia lincta	Dosinia lupinus	exact		
Duasmodactyla commune	Thyonidium drummondi	Exact		
Dulichia monacantha	Dyopedos monacanthus	Exact		
Dulichia porrecta	Dyopedos porrectus	Exact		
Dyopedos monacantha	Dyopedos monacanthus	Exact		
Dyopedus correctus	Dyopedos porrectus	Exact		
Ebalia cranchi	Ebalia cranchii	Exact		
Echinus acutus	Gracilechinus acutus	Exact		
Echinus esculentus/Gracilechinus elegans	Echinidae			
Eclysippe vanelli	Eclysippe eliasoni	Exact		
Ectocarpus siliquosus	Ectocarpus siliculosus	antag felstav		
Ectoprocta	Bryozoa	antag felstav		
Edwardsidae	Edwardsiidae	antag felstav		
Electra crustulenta	Einhornia crustulenta	Exact		
Elminius modestus	Austrominius modestus	exact		
enipo kinbergi	Enipo kinbergi			
Ensis directus	Ensis leei	Exact		
Entalina quinquangularis	Entalina tetragona	Exact		
Entelurus aequoraeus	Entelurus aequoreus	Exact		
Enteromorpha	Ulva	exact		
Enteromorpha intestinalis	Ulva intestinalis	Exact		
Entomosigma peridinioides	Entomosigma peridiniodes	felstav		
